id,nodes,version
3823216,20,1
3823218,5,1
3823219,3,1
3823220,35,1
3823223,11,1
3823224,3,1
3823228,2,1
3823229,2,1
3823230,2,1
3823231,6,1
3823232,3,1
3823233,14,1
3823234,3,1
3823235,20,1
3823236,2,1
3823238,35,1
3823239,7,1
3823240,8,1
3823241,7,1
3823242,7,1
3823243,2,1
3823244,4,1
3823245,14,1
3823247,5,1
3823248,9,1
3823249,5,1
3823250,5,1
3823251,7,1
3823254,3,1
3823255,17,1
3823256,15,1
3823257,6,1
3823258,11,1
3823259,4,1
3823261,25,1
3823263,3,1
3823264,2,1
3823265,7,1
3823266,2,1
3823267,6,1
3823268,6,1
3823269,5,1
3823270,3,1
3823271,4,1
3823274,2,1
3823275,4,1
3823278,6,1
3823279,13,1
3823280,3,1
3823282,9,1
3823283,5,1
3823285,19,1
3823287,5,1
3823288,5,1
3823289,9,1
3823290,6,1
3823291,6,1
3823292,7,1
3823293,5,1
3823295,8,1
3823296,9,1
3823297,2,1
3823298,2,1
3823299,2,1
3823300,8,1
3823301,4,1
3823302,9,1
3823303,9,1
3823304,29,1
3825970,8,1
3826038,2,1
3841363,2,1
3875322,7,1
3875324,12,1
3875325,9,1
3875326,21,1
3875327,14,1
3875328,19,1
3875329,4,1
3875331,21,1
3875332,3,1
3875333,2,1
3875334,2,1
3875336,13,1
3875337,5,1
3875340,6,1
3875341,4,1
3875344,22,1
3875345,7,1
3875346,8,1
3875347,8,1
3875348,5,1
3875349,5,1
3875354,3,1
3875355,9,1
3875356,18,1
3875357,3,1
3875358,48,1
3875360,3,1
3875361,5,1
3875362,9,1
3875366,21,1
3875367,11,1
3875369,29,1
3875370,13,1
3875371,11,1
3875372,11,1
3875374,3,1
3875375,2,1
3875378,3,1
3875379,3,1
3875380,19,1
3875381,4,1
3875384,3,1
3875385,4,1
3875386,11,1
3875387,4,1
3875388,11,1
3875389,10,1
3875390,22,1
3875392,2,1
3875393,5,1
3875395,7,1
3875396,2,1
3875397,3,1
3875398,9,1
3875399,14,1
3875400,7,1
3875401,3,1
3875402,35,1
3875403,5,1
3875404,13,1
3875405,28,1
3875406,10,1
3875407,2,1
3875409,16,1
3875464,5,1
3875465,3,1
3875466,5,1
3875467,6,1
3875468,5,1
3875469,2,1
3875470,42,1
3875471,31,1
3875472,5,1
3875474,11,1
3875475,6,1
3875476,2,1
3875477,6,1
3875478,2,1
3875480,3,1
3875482,14,1
3875483,13,1
3875484,6,1
3875485,7,1
3875486,9,1
3875489,7,1
3875490,12,1
3875491,8,1
3875492,20,1
3875493,9,1
3875494,14,1
3875495,10,1
3875497,5,1
3875498,13,1
3875499,10,1
3875500,18,1
3875502,3,1
3875503,2,1
3875504,5,1
3875505,4,1
3875506,5,1
3875507,7,1
3875508,8,1
3875509,2,1
3875510,5,1
3875512,9,1
3875513,3,1
3875514,8,1
3875515,4,1
3875518,2,1
3875520,3,1
3875522,24,1
3875524,5,1
3875525,9,1
3875527,2,1
3875528,2,1
3875533,5,1
3875534,8,1
3875536,24,1
3875537,16,1
3875539,3,1
3875541,7,1
3875543,2,1
3875544,2,1
3875545,4,1
3875547,18,1
3875548,8,1
3875550,15,1
3876592,7,1
3877290,5,1
3904025,7,1
3904026,3,1
3904027,7,1
3904028,7,1
3904029,6,1
3904030,2,1
3904031,4,1
3904032,8,1
3904033,6,1
3904036,2,1
3904037,14,1
3904039,7,1
3904043,6,1
3904044,2,1
3904045,3,1
3904046,2,1
3904050,5,1
3904052,6,1
3904056,3,1
3904058,8,1
3904062,4,1
3904063,8,1
3904064,2,1
3904065,6,1
3904067,8,1
3904068,8,1
3904069,6,1
3904070,4,1
3904071,3,1
3904072,13,1
3904073,9,1
3904074,6,1
3904075,2,1
3904076,2,1
3904077,3,1
3904078,3,1
3904080,9,1
3904081,2,1
3904082,4,1
3904083,4,1
3904084,3,1
3904085,6,1
3904086,3,1
3904087,2,1
3904088,2,1
3904089,4,1
3904090,6,1
3904091,3,1
3904093,9,1
3904094,2,1
3904095,2,1
3904096,2,1
3904097,11,1
3904098,6,1
3904099,8,1
3904101,18,1
3904102,3,1
3904103,12,1
3904104,20,1
3904105,2,1
3904106,9,1
