id,key,value,type
15431329,description,Cambridge city boundary,regular
16709854,ref,12,regular
16709854,name,Haggis Farm,regular
16709854,exit_to,"Cambridge, Sandy A603",regular
16709854,highway,motorway_junction,regular
16711416,ref,14,regular
16711416,name,Girton Interchange,regular
16711416,exit_to,Newmarket A14; Ely (A10),regular
16711416,highway,motorway_junction,regular
17708228,created_by,JOSM,regular
17708230,created_by,JOSM,regular
17708234,created_by,JOSM,regular
17708235,created_by,JOSM,regular
17708236,created_by,JOSM,regular
17708237,created_by,JOSM,regular
17708238,created_by,JOSM,regular
17708239,created_by,JOSM,regular
17708240,created_by,JOSM,regular
17708241,created_by,JOSM,regular
17708245,created_by,JOSM,regular
17708247,created_by,JOSM,regular
17708251,created_by,JOSM,regular
17708252,created_by,JOSM,regular
17708253,created_by,JOSM,regular
17708254,created_by,JOSM,regular
17708257,created_by,JOSM,regular
17708290,created_by,JOSM,regular
17708291,created_by,JOSM,regular
17708293,created_by,JOSM,regular
17708297,created_by,JOSM,regular
17708320,created_by,JOSM,regular
17708321,created_by,JOSM,regular
17708324,created_by,JOSM,regular
17708325,created_by,JOSM,regular
17708326,created_by,JOSM,regular
17708327,created_by,JOSM,regular
17708328,created_by,JOSM,regular
17708335,created_by,JOSM,regular
17708352,created_by,JOSM,regular
17708357,created_by,JOSM,regular
17708359,created_by,JOSM,regular
17708360,created_by,JOSM,regular
17708361,created_by,JOSM,regular
17708366,created_by,JOSM,regular
17708368,created_by,JOSM,regular
17708372,created_by,JOSM,regular
17708382,highway,mini_roundabout,regular
17708382,direction,clockwise,regular
17708384,highway,mini_roundabout,regular
17708384,direction,clockwise,regular
17708419,created_by,JOSM,regular
17708420,created_by,JOSM,regular
17708422,created_by,JOSM,regular
17708423,created_by,JOSM,regular
17708425,created_by,JOSM,regular
17708430,created_by,JOSM,regular
17708431,created_by,JOSM,regular
17708433,created_by,JOSM,regular
17708442,created_by,JOSM,regular
17708462,created_by,JOSM,regular
17708468,created_by,JOSM,regular
17708469,created_by,JOSM,regular
17708470,created_by,JOSM,regular
17708471,created_by,JOSM,regular
17708475,created_by,JOSM,regular
17708476,created_by,JOSM,regular
17708482,created_by,JOSM,regular
17708491,created_by,JOSM,regular
17708498,created_by,JOSM,regular
17708503,created_by,JOSM,regular
17708555,created_by,JOSM,regular
17708556,created_by,JOSM,regular
17708573,created_by,JOSM,regular
17708577,created_by,JOSM,regular
17708579,created_by,JOSM,regular
17708594,created_by,JOSM,regular
17708596,created_by,JOSM,regular
17708618,created_by,JOSM,regular
17708619,created_by,JOSM,regular
17708621,food,yes,regular
17708621,name,Six Bells,regular
17708621,amenity,pub,regular
17708621,parking,yes,regular
17708621,operator,Pubmaster,regular
17708621,real_ale,6 beers (varying),regular
17708621,wikidata,Q26457166,regular
17708621,beer_garden,yes,regular
17708621,floor,Tiles (I think),description
17708625,amenity,post_office,regular
17708627,name,Fulbourn,regular
17708627,is_in,"Cambridgeshire, England, UK",regular
17708627,place,village,regular
17708627,wikidata,Q2334717,regular
17708627,created_by,Potlatch 0.4a,regular
17708627,population,4850,regular
17708627,source,http://www.scambs.gov.uk/CommunityandLiving/VillageServicesAndAmenities/,source
18058182,barrier,cycle_barrier,regular
18058182,bicycle,yes,regular
18100099,highway,mini_roundabout,regular
18100099,direction,clockwise,regular
18104844,created_by,JOSM,regular
18175911,created_by,JOSM,regular
18175993,created_by,JOSM,regular
18176057,created_by,JOSM,regular
18176058,created_by,JOSM,regular
18176072,created_by,JOSM,regular
18176086,created_by,JOSM,regular
18176097,highway,mini_roundabout,regular
18176097,maxspeed,20 mph,regular
18176097,direction,clockwise,regular
18176108,highway,mini_roundabout,regular
18176108,maxspeed,20 mph,regular
18176108,direction,clockwise,regular
18176110,highway,mini_roundabout,regular
18176110,maxspeed,20 mph,regular
18176110,direction,clockwise,regular
18176113,highway,mini_roundabout,regular
18176113,maxspeed,20 mph,regular
18176113,direction,clockwise,regular
18176118,highway,turning_circle,regular
18176118,maxspeed,20 mph,regular
18176123,created_by,JOSM,regular
18176126,created_by,JOSM,regular
18176128,highway,turning_circle,regular
18176128,maxspeed,20 mph,regular
18176130,created_by,JOSM,regular
18176133,created_by,JOSM,regular
18176144,created_by,JOSM,regular
18176157,created_by,JOSM,regular
18176165,created_by,JOSM,regular
18176195,created_by,JOSM,regular
18176202,name,Cherry Hinton Rec,regular
18176202,leisure,park,regular
18176202,created_by,JOSM,regular
18176456,created_by,JOSM,regular
18176483,created_by,JOSM,regular
18176492,created_by,JOSM,regular
18176498,highway,turning_circle,regular
18176498,maxspeed,20 mph,regular
18176504,created_by,JOSM,regular
18176509,highway,crossing,regular
18176509,crossing,traffic_signals,regular
18176509,crossing_ref,puffin,regular
